stimFile,Valence
stims/2312.jpg,Neutral
stims/2850.jpg,Neutral
stims/4000.jpg,Neutral
stims/4001.jpg,Neutral
stims/4003.jpg,Neutral
stims/4180.jpg,Neutral
stims/4490.jpg,Neutral
stims/4520.jpg,Neutral
stims/4525.jpg,Neutral
stims/4530.jpg,Neutral
stims/5535.jpg,Neutral
stims/6314.jpg,Neutral
stims/7130.jpg,Neutral
stims/7180.jpg,Neutral
stims/7190.jpg,Neutral
stims/7237.jpg,Neutral
stims/7496.jpg,Neutral
stims/7820.jpg,Neutral
stims/7830.jpg,Neutral
stims/8050.jpg,Neutral
stims/8116.jpg,Neutral
stims/9045.jpg,Neutral